GTA,Total_Records,Operational_Records,Downtime_Records,Uptime_Percentage,Avg_HP_Operational,Avg_MP_Operational,Avg_Energy_Operational,Max_HP,Max_MP,Max_Energy,Min_HP,Min_MP,Min_Energy
GTA_1,48394,47603,791,98.36549985535396,187.23155699440372,141.91270522036316,23.332134204905426,246.11,265.672852,37.86865,10.0205822,0.0,0.166956022
GTA_2,48394,29746,18648,61.46629747489358,198.64622391853362,158.5776565076834,22.564674517809788,209.412567,178.660126,30.9804535,21.7832832,0.0,0.0
GTA_3,48394,44932,3462,92.84622060586022,183.65080476756654,139.66671170561358,23.110317409651596,209.537964,182.050461,38.4376,10.0187416,0.0,-128.074066
